jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
13232,8,5,4.52,85%,10%,60%
27926,15,25,20.73,85%,17%,40%
12181,32,4,3.09,85%,23%,700%
3101,194,196,141.2,85%,28%,1%
24026,7.5,5,6.44,85%,29%,50%
21954,11,19,12.26,85%,35%,42%
15115,15,34,17.26,85%,49%,56%
20058,30,71,25.78,85%,64%,58%
41468,5,1,7.74,85%,674%,400%
7227,6.5,3,3.38,86%,13%,117%
22177,125,39,29.7,86%,24%,221%
19468,15,3,2.28,86%,24%,400%
5786,6,6,7.52,86%,25%,0%
47460,3,4,2.95,86%,26%,25%
12577,11.5,10,7.17,86%,28%,15%
23280,8.3,7,4.85,86%,31%,19%
13358,7.5,16,10.3,86%,36%,53%
27282,9,9,4.43,86%,51%,0%
5416,30,46,21.88,86%,52%,35%
45393,4,6,2.82,86%,53%,33%
24316,2.5,9,3.31,86%,63%,72%
16342,3,3,5.06,86%,69%,0%
46242,33.74,2,3.4,86%,70%,1587%
27404,20,32,9.55,86%,70%,38%
15239,22.5,99,22.03,86%,78%,77%
20115,10,9,1.59,86%,82%,11%
23668,25.5,21,3.63,86%,83%,21%
7632,5,15,2.27,86%,85%,67%
22711,32,1,2.94,86%,194%,3100%
2285,7.5,70,50.33,87%,28%,89%
39744,4,4,5.33,87%,33%,0%
21529,29,25,14.26,87%,43%,16%
25040,4,4,6.61,87%,65%,0%
11122,45,62,20.66,87%,67%,27%
5911,46,63,9.16,87%,85%,27%
14005,2,1,6.83,87%,583%,100%
15318,7.5,11,10.38,88%,6%,32%
7534,2.5,4,3.62,88%,10%,38%
34050,7.5,7,6.04,88%,14%,7%
34851,12.94,12,10.01,88%,17%,8%
7585,10,6,4.81,88%,20%,67%
9636,10,3,3.75,88%,25%,233%
7646,20,13,8.13,88%,37%,54%
10412,2,5,7.13,88%,43%,60%
8383,1.4,9,12.89,88%,43%,84%
20455,9,10,5.48,88%,45%,10%
10118,7.52,18,8.54,88%,53%,58%
8550,40,82,37.74,88%,54%,51%
35103,6,12,4.87,88%,59%,50%
12267,22.5,93,33.99,88%,63%,76%
41485,5,12,3.1,88%,74%,58%
7096,3,57,10.29,88%,82%,95%
39774,8,8,1.44,88%,82%,0%
26661,28,37,5.8,88%,84%,24%
17814,3.5,3,5.67,88%,89%,17%
26782,3.5,2,3.81,88%,91%,75%
11397,84,97,4.4,88%,95%,13%
2788,3,3,6.63,88%,121%,0%
9788,28,1,4.24,88%,324%,2700%
4270,24,24,24.56,89%,2%,0%
8152,1.5,4,3.88,89%,3%,63%
29942,8,5,5.79,89%,16%,60%
39756,25,15,17.62,89%,17%,67%
7456,8,9,7.14,89%,21%,11%
9257,64,9,11.78,89%,31%,611%
10186,8,8,10.52,89%,32%,0%
43353,27,29,19.86,89%,32%,7%
15647,42,22,14.5,89%,34%,91%
6875,68,32,20.92,89%,35%,113%
43181,22.46,5,3.24,89%,35%,349%
38238,31,36,22.18,89%,38%,14%
19466,8,8,11.57,89%,45%,0%
38209,36,40,58.35,89%,46%,10%
39786,20,38,19.83,89%,48%,47%
34991,16,14,6.33,89%,55%,14%
20525,4.5,6,2.61,89%,57%,25%
44823,25,5,2.15,89%,57%,400%
20278,20,14,5.43,89%,61%,43%
20277,20,21,7.08,89%,66%,5%
15178,60,76,24.91,89%,67%,21%
23724,38,17,5.23,89%,69%,124%
36425,7.5,9,2.67,89%,70%,17%
1874,3,147,42.37,89%,71%,98%
28522,54,39,10.08,89%,74%,38%
33120,15,42,8.05,89%,81%,64%
21914,7.5,6,10.86,89%,81%,25%
41883,18.5,7,12.77,89%,82%,164%
14147,10,22,3.86,89%,82%,55%
13434,80.65,94,10.82,89%,88%,14%
14448,76.65,80,7.33,89%,91%,4%
18012,37.5,30,2.02,89%,93%,25%
20695,3,7,0,89%,100%,57%
12726,4,2,4.66,89%,133%,100%
22852,36,45,180.12,89%,300%,20%
40934,49.5,9,8.94,90%,1%,450%
23787,17,10,8.23,90%,18%,70%
40496,10,11,8.4,90%,24%,9%
21373,1,6,4.36,90%,27%,83%
25636,50,26,18.19,90%,30%,92%
33267,32,23,15.25,90%,34%,39%
41068,26.5,24,12.89,90%,46%,10%
14016,63,33,17.16,90%,48%,91%
